" Австралия","AU","AUS","036","ISO 3166-2:AU"
" Австрия","AT","AUT","040","ISO 3166-2:AT"
" Азербайджан","AZ","AZE","031","ISO 3166-2:AZ"
" Аландские острова","AX","ALA","248","ISO 3166-2:AX"
" Албания","AL","ALB","008","ISO 3166-2:AL"
" Алжир","DZ","DZA","012","ISO 3166-2:DZ"
" Американские Виргинские острова","VI","VIR","850","ISO 3166-2:VI"
" Американское Самоа","AS","ASM","016","ISO 3166-2:AS"
" Ангилья","AI","AIA","660","ISO 3166-2:AI"
" Ангола","AO","AGO","024","ISO 3166-2:AO"
" Андорра","AD","AND","020","ISO 3166-2:AD"
" Антарктида","AQ","ATA","010","ISO 3166-2:AQ"
" Антигуа и Барбуда","AG","ATG","028","ISO 3166-2:AG"
" Аргентина","AR","ARG","032","ISO 3166-2:AR"
" Армения","AM","ARM","051","ISO 3166-2:AM"
" Аруба","AW","ABW","533","ISO 3166-2:AW"
" Афганистан","AF","AFG","004","ISO 3166-2:AF"
" Багамы","BS","BHS","044","ISO 3166-2:BS"
" Бангладеш","BD","BGD","050","ISO 3166-2:BD"
" Барбадос","BB","BRB","052","ISO 3166-2:BB"
" Бахрейн","BH","BHR","048","ISO 3166-2:BH"
" Белиз","BZ","BLZ","084","ISO 3166-2:BZ"
" Белоруссия","BY","BLR","112","ISO 3166-2:BY"
" Бельгия","BE","BEL","056","ISO 3166-2:BE"
" Бенин","BJ","BEN","204","ISO 3166-2:BJ"
" Бермуды","BM","BMU","060","ISO 3166-2:BM"
" Болгария","BG","BGR","100","ISO 3166-2:BG"
" Боливия","BO","BOL","068","ISO 3166-2:BO"
" Бонэйр, Синт-Эстатиус и Саба","BQ","BES","535","ISO 3166-2:BQ"
" Босния и Герцеговина","BA","BIH","070","ISO 3166-2:BA"
" Ботсвана","BW","BWA","072","ISO 3166-2:BW"
" Бразилия","BR","BRA","076","ISO 3166-2:BR"
" Британская территория в Индийском океане","IO","IOT","086","ISO 3166-2:IO"
" Британские Виргинские острова","VG","VGB","092","ISO 3166-2:VG"
" Бруней","BN","BRN","096","ISO 3166-2:BN"
" Буркина-Фасо","BF","BFA","854","ISO 3166-2:BF"
" Бурунди","BI","BDI","108","ISO 3166-2:BI"
" Бутан","BT","BTN","064","ISO 3166-2:BT"
" Вануату","VU","VUT","548","ISO 3166-2:VU"
" Ватикан","VA","VAT","336","ISO 3166-2:VA"
" Великобритания","GB","GBR","826","ISO 3166-2:GB"
" Венгрия","HU","HUN","348","ISO 3166-2:HU"
" Венесуэла","VE","VEN","862","ISO 3166-2:VE"
" Внешние малые острова (США)","UM","UMI","581","ISO 3166-2:UM"
" Восточный Тимор","TL","TLS","626","ISO 3166-2:TL"
" Вьетнам","VN","VNM","704","ISO 3166-2:VN"
" Габон","GA","GAB","266","ISO 3166-2:GA"
" Гаити","HT","HTI","332","ISO 3166-2:HT"
" Гайана","GY","GUY","328","ISO 3166-2:GY"
" Гамбия","GM","GMB","270","ISO 3166-2:GM"
" Гана","GH","GHA","288","ISO 3166-2:GH"
" Гваделупа","GP","GLP","312","ISO 3166-2:GP"
" Гватемала","GT","GTM","320","ISO 3166-2:GT"
" Гвиана","GF","GUF","254","ISO 3166-2:GF"
" Гвинея","GN","GIN","324","ISO 3166-2:GN"
" Гвинея-Бисау","GW","GNB","624","ISO 3166-2:GW"
" Германия","DE","DEU","276","ISO 3166-2:DE"
" Гернси","GG","GGY","831","ISO 3166-2:GG"
" Гибралтар","GI","GIB","292","ISO 3166-2:GI"
" Гондурас","HN","HND","340","ISO 3166-2:HN"
" Гонконг","HK","HKG","344","ISO 3166-2:HK"
" Гренада","GD","GRD","308","ISO 3166-2:GD"
" Гренландия","GL","GRL","304","ISO 3166-2:GL"
" Греция","GR","GRC","300","ISO 3166-2:GR"
" Грузия","GE","GEO","268","ISO 3166-2:GE"
" Гуам","GU","GUM","316","ISO 3166-2:GU"
" Дания","DK","DNK","208","ISO 3166-2:DK"
" Джерси (остров)","JE","JEY","832","ISO 3166-2:JE"
" Джибути","DJ","DJI","262","ISO 3166-2:DJ"
" Доминика","DM","DMA","212","ISO 3166-2:DM"
" Доминиканская Республика","DO","DOM","214","ISO 3166-2:DO"
" ДР Конго","CD","COD","180","ISO 3166-2:CD"
" Европейский союз","EU","","","ISO 3166-2:EU"
" Египет","EG","EGY","818","ISO 3166-2:EG"
" Замбия","ZM","ZMB","894","ISO 3166-2:ZM"
" Западная Сахара","EH","ESH","732","ISO 3166-2:EH"
" Зимбабве","ZW","ZWE","716","ISO 3166-2:ZW"
" Израиль","IL","ISR","376","ISO 3166-2:IL"
" Индия","IN","IND","356","ISO 3166-2:IN"
" Индонезия","ID","IDN","360","ISO 3166-2:ID"
" Иордания","JO","JOR","400","ISO 3166-2:JO"
" Ирак","IQ","IRQ","368","ISO 3166-2:IQ"
" Иран","IR","IRN","364","ISO 3166-2:IR"
" Ирландия","IE","IRL","372","ISO 3166-2:IE"
" Исландия","IS","ISL","352","ISO 3166-2:IS"
" Испания","ES","ESP","724","ISO 3166-2:ES"
" Италия","IT","ITA","380","ISO 3166-2:IT"
" Йемен","YE","YEM","887","ISO 3166-2:YE"
" Кабо-Верде","CV","CPV","132","ISO 3166-2:CV"
" Казахстан","KZ","KAZ","398","ISO 3166-2:KZ"
" Каймановы острова","KY","CYM","136","ISO 3166-2:KY"
" Камбоджа","KH","KHM","116","ISO 3166-2:KH"
" Камерун","CM","CMR","120","ISO 3166-2:CM"
" Канада","CA","CAN","124","ISO 3166-2:CA"
" Катар","QA","QAT","634","ISO 3166-2:QA"
" Кения","KE","KEN","404","ISO 3166-2:KE"
" Кипр","CY","CYP","196","ISO 3166-2:CY"
" Киргизия","KG","KGZ","417","ISO 3166-2:KG"
" Кирибати","KI","KIR","296","ISO 3166-2:KI"
" Китайская Республика","TW","TWN","158","ISO 3166-2:TW"
" КНДР","KP","PRK","408","ISO 3166-2:KP"
" КНР","CN","CHN","156","ISO 3166-2:CN"
" Кокосовые острова","CC","CCK","166","ISO 3166-2:CC"
" Колумбия","CO","COL","170","ISO 3166-2:CO"
" Коморы","KM","COM","174","ISO 3166-2:KM"
" Коста-Рика","CR","CRI","188","ISO 3166-2:CR"
" Кот-д’Ивуар","CI","CIV","384","ISO 3166-2:CI"
" Куба","CU","CUB","192","ISO 3166-2:CU"
" Кувейт","KW","KWT","414","ISO 3166-2:KW"
" Кюрасао","CW","CUW","531","ISO 3166-2:CW"
" Лаос","LA","LAO","418","ISO 3166-2:LA"
" Латвия","LV","LVA","428","ISO 3166-2:LV"
" Лесото","LS","LSO","426","ISO 3166-2:LS"
" Либерия","LR","LBR","430","ISO 3166-2:LR"
" Ливан","LB","LBN","422","ISO 3166-2:LB"
" Ливия","LY","LBY","434","ISO 3166-2:LY"
" Литва","LT","LTU","440","ISO 3166-2:LT"
" Лихтенштейн","LI","LIE","438","ISO 3166-2:LI"
" Люксембург","LU","LUX","442","ISO 3166-2:LU"
" Маврикий","MU","MUS","480","ISO 3166-2:MU"
" Мавритания","MR","MRT","478","ISO 3166-2:MR"
" Мадагаскар","MG","MDG","450","ISO 3166-2:MG"
" Майотта","YT","MYT","175","ISO 3166-2:YT"
" Макао","MO","MAC","446","ISO 3166-2:MO"
" Македония","MK","MKD","807","ISO 3166-2:MK"
" Малави","MW","MWI","454","ISO 3166-2:MW"
" Малайзия","MY","MYS","458","ISO 3166-2:MY"
" Мали","ML","MLI","466","ISO 3166-2:ML"
" Мальдивы","MV","MDV","462","ISO 3166-2:MV"
" Мальта","MT","MLT","470","ISO 3166-2:MT"
" Марокко","MA","MAR","504","ISO 3166-2:MA"
" Мартиника","MQ","MTQ","474","ISO 3166-2:MQ"
" Маршалловы Острова","MH","MHL","584","ISO 3166-2:MH"
" Мексика","MX","MEX","484","ISO 3166-2:MX"
" Микронезия","FM","FSM","583","ISO 3166-2:FM"
" Мозамбик","MZ","MOZ","508","ISO 3166-2:MZ"
" Молдавия","MD","MDA","498","ISO 3166-2:MD"
" Монако","MC","MCO","492","ISO 3166-2:MC"
" Монголия","MN","MNG","496","ISO 3166-2:MN"
" Монтсеррат","MS","MSR","500","ISO 3166-2:MS"
" Мьянма","MM","MMR","104","ISO 3166-2:MM"
" Намибия","NA","NAM","516","ISO 3166-2:NA"
" Науру","NR","NRU","520","ISO 3166-2:NR"
" Непал","NP","NPL","524","ISO 3166-2:NP"
" Нигер","NE","NER","562","ISO 3166-2:NE"
" Нигерия","NG","NGA","566","ISO 3166-2:NG"
" Нидерланды","NL","NLD","528","ISO 3166-2:NL"
" Никарагуа","NI","NIC","558","ISO 3166-2:NI"
" Ниуэ","NU","NIU","570","ISO 3166-2:NU"
" Новая Зеландия","NZ","NZL","554","ISO 3166-2:NZ"
" Новая Каледония","NC","NCL","540","ISO 3166-2:NC"
" Норвегия","NO","NOR","578","ISO 3166-2:NO"
" ОАЭ","AE","ARE","784","ISO 3166-2:AE"
" Оман","OM","OMN","512","ISO 3166-2:OM"
" Остров Буве","BV","BVT","074","ISO 3166-2:BV"
" Остров Мэн","IM","IMN","833","ISO 3166-2:IM"
" Острова Кука","CK","COK","184","ISO 3166-2:CK"
" Остров Норфолк","NF","NFK","574","ISO 3166-2:NF"
" Остров Рождества","CX","CXR","162","ISO 3166-2:CX"
" Острова Питкэрн","PN","PCN","612","ISO 3166-2:PN"
" Острова Святой Елены, Вознесения и Тристан-да-Кунья","SH","SHN","654","ISO 3166-2:SH"
" Пакистан","PK","PAK","586","ISO 3166-2:PK"
" Палау","PW","PLW","585","ISO 3166-2:PW"
" Государство Палестина","PS","PSE","275","ISO 3166-2:PS"
" Панама","PA","PAN","591","ISO 3166-2:PA"
" Папуа — Новая Гвинея","PG","PNG","598","ISO 3166-2:PG"
" Парагвай","PY","PRY","600","ISO 3166-2:PY"
" Перу","PE","PER","604","ISO 3166-2:PE"
" Польша","PL","POL","616","ISO 3166-2:PL"
" Португалия","PT","PRT","620","ISO 3166-2:PT"
" Пуэрто-Рико","PR","PRI","630","ISO 3166-2:PR"
" Республика Конго","CG","COG","178","ISO 3166-2:CG"
" Республика Корея","KR","KOR","410","ISO 3166-2:KR"
" Реюньон","RE","REU","638","ISO 3166-2:RE"
" Россия","RU","RUS","643","ISO 3166-2:RU"
" Руанда","RW","RWA","646","ISO 3166-2:RW"
" Румыния","RO","ROU","642","ISO 3166-2:RO"
" Сальвадор","SV","SLV","222","ISO 3166-2:SV"
" Самоа","WS","WSM","882","ISO 3166-2:WS"
" Сан-Марино","SM","SMR","674","ISO 3166-2:SM"
" Сан-Томе и Принсипи","ST","STP","678","ISO 3166-2:ST"
" Саудовская Аравия","SA","SAU","682","ISO 3166-2:SA"
" Свазиленд","SZ","SWZ","748","ISO 3166-2:SZ"
" Северные Марианские острова","MP","MNP","580","ISO 3166-2:MP"
" Сейшельские Острова","SC","SYC","690","ISO 3166-2:SC"
" Сен-Бартелеми","BL","BLM","652","ISO 3166-2:BL"
" Сен-Мартен","MF","MAF","663","ISO 3166-2:MF"
" Сен-Пьер и Микелон","PM","SPM","666","ISO 3166-2:PM"
" Сенегал","SN","SEN","686","ISO 3166-2:SN"
" Сент-Винсент и Гренадины","VC","VCT","670","ISO 3166-2:VC"
" Сент-Китс и Невис","KN","KNA","659","ISO 3166-2:KN"
" Сент-Люсия","LC","LCA","662","ISO 3166-2:LC"
" Сербия","RS","SRB","688","ISO 3166-2:RS"
" Сингапур","SG","SGP","702","ISO 3166-2:SG"
" Синт-Мартен","SX","SXM","534","ISO 3166-2:SX"
" Сирия","SY","SYR","760","ISO 3166-2:SY"
" Словакия","SK","SVK","703","ISO 3166-2:SK"
" Словения","SI","SVN","705","ISO 3166-2:SI"
" Соломоновы Острова","SB","SLB","090","ISO 3166-2:SB"
" Сомали","SO","SOM","706","ISO 3166-2:SO"
" Судан","SD","SDN","729","ISO 3166-2:SD"
" СССР (до сентября 1992 года)","SU","SUN","810","ISO 3166-2:SU"
" Суринам","SR","SUR","740","ISO 3166-2:SR"
" США","US","USA","840","ISO 3166-2:US"
" Сьерра-Леоне","SL","SLE","694","ISO 3166-2:SL"
" Таджикистан","TJ","TJK","762","ISO 3166-2:TJ"
" Таиланд","TH","THA","764","ISO 3166-2:TH"
" Танзания","TZ","TZA","834","ISO 3166-2:TZ"
" Тёркс и Кайкос","TC","TCA","796","ISO 3166-2:TC"
" Того","TG","TGO","768","ISO 3166-2:TG"
" Токелау","TK","TKL","772","ISO 3166-2:TK"
" Тонга","TO","TON","776","ISO 3166-2:TO"
" Тринидад и Тобаго","TT","TTO","780","ISO 3166-2:TT"
" Тувалу","TV","TUV","798","ISO 3166-2:TV"
" Тунис","TN","TUN","788","ISO 3166-2:TN"
" Туркмения","TM","TKM","795","ISO 3166-2:TM"
" Турция","TR","TUR","792","ISO 3166-2:TR"
" Уганда","UG","UGA","800","ISO 3166-2:UG"
" Узбекистан","UZ","UZB","860","ISO 3166-2:UZ"
" Украина","UA","UKR","804","ISO 3166-2:UA"
" Уоллис и Футуна","WF","WLF","876","ISO 3166-2:WF"
" Уругвай","UY","URY","858","ISO 3166-2:UY"
" Фарерские острова","FO","FRO","234","ISO 3166-2:FO"
" Фиджи","FJ","FJI","242","ISO 3166-2:FJ"
" Филиппины","PH","PHL","608","ISO 3166-2:PH"
" Финляндия","FI","FIN","246","ISO 3166-2:FI"
" Фолклендские острова","FK","FLK","238","ISO 3166-2:FK"
" Франция","FR","FRA","250","ISO 3166-2:FR"
" Французская Полинезия","PF","PYF","258","ISO 3166-2:PF"
" Французские Южные и Антарктические Территории","TF","ATF","260","ISO 3166-2:TF"
" Херд и Макдональд","HM","HMD","334","ISO 3166-2:HM"
" Хорватия","HR","HRV","191","ISO 3166-2:HR"
" ЦАР","CF","CAF","140","ISO 3166-2:CF"
" Чад","TD","TCD","148","ISO 3166-2:TD"
" Черногория","ME","MNE","499","ISO 3166-2:ME"
" Чехия","CZ","CZE","203","ISO 3166-2:CZ"
" Чили","CL","CHL","152","ISO 3166-2:CL"
" Швейцария","CH","CHE","756","ISO 3166-2:CH"
" Швеция","SE","SWE","752","ISO 3166-2:SE"
" Шпицберген и Ян-Майен","SJ","SJM","744","ISO 3166-2:SJ"
" Шри-Ланка","LK","LKA","144","ISO 3166-2:LK"
" Эквадор","EC","ECU","218","ISO 3166-2:EC"
" Экваториальная Гвинея","GQ","GNQ","226","ISO 3166-2:GQ"
" Эритрея","ER","ERI","232","ISO 3166-2:ER"
" Эстония","EE","EST","233","ISO 3166-2:EE"
" Эфиопия","ET","ETH","231","ISO 3166-2:ET"
" ЮАР","ZA","ZAF","710","ISO 3166-2:ZA"
" Южная Георгия и Южные Сандвичевы острова","GS","SGS","239","ISO 3166-2:GS"
" Южный Судан","SS","SSD","728","ISO 3166-2:SS"
" Ямайка","JM","JAM","388","ISO 3166-2:JM"
" Япония","JP","JPN","392","ISO 3166-2:JP"